degree_90,average_nb_degree_90,betweeness_90,eigenvector_90,closeness_90,clustering_90,degree_80,average_nb_degree_80,betweeness_80,eigenvector_80,closeness_80,clustering_80,degree_70,average_nb_degree_70,betweeness_70,eigenvector_70,closeness_70,clustering_70
4,4.5,0.0,-2.6789112442690934e-19,0.005189772463710686,1.0,27,32.925925925925924,0.00013018395093357903,3.127991138583916e-06,0.09430654331123081,0.42165242165242167,129,125.4108527131783,0.00010041264422613454,0.0028770510543709178,0.3047825159264791,0.3702761627906977
4,6.25,0.0,5.7611737785940376e-18,0.0074867473826727236,1.0,22,36.09090909090909,3.208422954210186e-05,-2.1630551645227337e-17,0.09608872745351098,0.5021645021645021,118,135.11864406779662,8.914559272495183e-05,0.014780118247130434,0.3029173861674089,0.42430827176589886
2,3.0,0.0,4.438938832401573e-18,0.0037779764206090053,1.0,22,22.954545454545453,2.5877507391632815e-05,1.004227037623081e-06,0.08804202144202229,0.35064935064935066,104,114.32692307692308,8.821163809027817e-05,0.0019513932370633573,0.3014198293793145,0.34036594473487675
1,6.0,0.0,3.3008362920814033e-17,0.008267197177853645,0.0,27,34.77777777777778,4.4915159581871656e-05,-1.2686965102060449e-15,0.0941477541467324,0.46153846153846156,141,131.78014184397162,0.00016908465595589825,0.01617494659365371,0.30535027178892077,0.35309017223910844
3,6.333333333333333,9.053421826082766e-05,6.5522759926289125e-18,0.007095242892773761,0.3333333333333333,42,30.928571428571427,9.362255304593883e-05,-2.7940168025482274e-17,0.09681552184720994,0.3310104529616725,148,127.3445945945946,0.00022845184820000704,0.009128265984733243,0.30730223123732253,0.3470307041735613
2,3.0,8.266479778603986e-05,5.4875003482901796e-18,0.004073311925367441,0.0,17,22.294117647058822,1.8520415793665844e-05,5.356194519581086e-07,0.08539924267262211,0.3088235294117647,96,111.51041666666667,0.0007488027200304319,0.002105660488779228,0.3142560814633226,0.3361842105263158
1,5.0,0.0,1.361685556551101e-06,0.009213267277431969,0.0,31,35.12903225806452,6.132577430340054e-05,-4.0827250211606494e-17,0.09168510308142108,0.3548387096774194,122,129.18852459016392,7.208420740230449e-05,0.008678169916907673,0.2990399856446452,0.3869394391003929
4,2.75,0.00014892334962108734,-6.711224909886199e-18,0.0076665515890289426,0.0,32,32.5,5.527924092657771e-05,0.00010741239402920393,0.09016497414185037,0.4112903225806452,140,131.43571428571428,0.0003582088527436049,0.0034725664424349913,0.3121371043266529,0.3567317574511819
5,4.0,0.00019237275971336194,3.98174020619058e-18,0.005083624691177762,0.3,36,35.75,0.0001361959432315825,1.090999204922884e-17,0.0966373315391863,0.35555555555555557,133,134.28571428571428,0.00017734581694644322,0.014419531114598311,0.31083685650335735,0.3624971519708362
1,5.0,0.0,-4.0339412164928535e-18,0.006576734648133338,0.0,46,31.17391304347826,0.00021613204294036766,2.047836345436938e-17,0.09487335635252439,0.27246376811594203,130,127.22307692307692,0.00014602921076118375,0.015528902780064135,0.3026606532070103,0.37435897435897436
